der, die, das;the
Geist, Verstand, Kopf, Sinn, Gemüt n;mind n
Herbst n;autumn (BrE), fall (AmE) n
lesen, vorlesen, ablesen v;read (read - read) v
Materie, Stoff, Sache, Angelegenheit n;matter n
lebend, aktuell adj;live adj
arm, ärmlich, dürftig, schlecht, mangelhaft adj;poor adj
irgendein(e), jede(r, s);any
springen, einen Satz machen, abspringen, hüpfen v;jump v
Gott n;God, god, the Lord n
Auge, Öhr, Öse n;eye n
englisch adj;English adj
Körper, Leib, Rumpf, Leiche, Leichnam, Karosserie, Gruppe n;body n
singen v;sing (sang - sung) v
Hälfte, Spielhälfte, Halbzeit n;half - halves n
sich winden, winden, kurbeln, aufziehen v;wind (wound - wound) v
wachsen, anbauen, züchten v;grow (grew - grown) v
bewegen, umstellen, umräumen, rücken, wegfahren, von der Stelle bewegen, aus dem Weg räumen, wegziehen v;move v
Fuß, Fußende n;foot - feet n
zu Hause, nach Hause, in seine Heimat adv;home adv
lernen, erlernen, jdn etw lehren (scherzhaft) v;learn (learnt - learnt) v
Vorderseite, Vorderteil, vorderer Bereich, Fassade, Front (Militär) n;front n
Schau, Ausstellung, Messe, Vorstellung, Show, Revue n;show n
Rolle, Ballen, Bündel, Brötchen n;roll n
Morgen, Vormittag, Anfänge, Beginn n;morning n
Leistung, Energie, elektrischer Strom, Kraft, Vermögen, Stärke, Potenz, Macht n;power n
Österreich n;Austria n
hundert adj;hundred adj
nahe, nahe bei, in der Nähe von adv;near adv
Geschäft, Laden, Kaufhaus, Werkstatt n;shop n
Leitung, Linie, Gerade (Mathematik), Zeile, Reihe, Modell, Kollektion n;line n
Mittel, Mittelwert, Mittelweg n;mean - means n
langsam adv;slow adv
benutzen, gebrauchen, verwenden v;use v
Tür, Eingang n;door n
aufhängen, hängen, etw mit etw behängen, v;hang (hung - hung) v
Papier, Zeitung, Schriftstück, offizieller Bericht, Referat, Abhandlung n;paper n
antworten, beantworten, abnehmen (Telefon), ans Telefon gehen v;answer v
eine Freude machen, zufrieden stellen, jdn gefallen, jdn gefällig sein, jdm belieben v;please v
Lieber..., Liebe ... n;Dear ... n
heiß, warm, scharf adj;hot adj
Bruder n;brother n
Blick, Gesichtsausdruck, Ausdruck, Betrachtung, Aussehen, der Look n;look n
Baum n;tree n
verändern, ändern, umschlagen (Wetter), umsteigen, umziehen, wechseln, umtauschen (Geld) v;change v
Moment, Augenblick, Zeitpunkt n;moment n
anstarren, genau ansehen v;eye v
hart, schwierig, anstrengend, mühevoll, unnachgiebig adj;hard adj
lachen v;laugh v
blau adj;blue adj
Mangel, Not, Bedürfnis, Wunsch n;want n
Brief, Schreiben, Buchstabe n;letter n
die Jungen n;the young n
Amerika n;America n
Schnitt, Einschnitt, Stück von etw, Scheibe, Schnitte, Zuschnitt, Schnittwunde n;cut n
Schritt, Gang, Tanzschritt, Stufe, Sprosse n;step n
Winter n;winter n
tot, abgestorben, ausgestorben, erloschen, taub (Gefühl), absolut, total, völlig adj;dead adj
Amerikaner(in) n;American n
zwanzig adj;twenty adj
Kampf, Rauferei, Schlägerei, Fight, Gefecht n;fight n
senden, schicken, abschicken v;send (sent - sent) v
dritte adj;3rd, third adj
dritte(r) adj;third adj
Hund n;dog n
drehen, wenden, umdrehen, einbiegen, abbiegen, sich umdrehen, sich herumdrehen, sich drehen, sich umwenden, sich wenden v;turn v
Himmel (Meteorologie) n;sky n
England n;England n
verbessern, übertreffen, sich weiterbilden, sich verbessern v;better v
"essen, fressen (Tiere), etw hinnehmen, etw ""schlucken"" v";eat (ate - eaten) v
Reichweite, Aktionsradius, Einflussbereich, Flussstrecke, in der Nähe von n;reach n
Vogel n;bird n
fliegen, fliehen, flüchten v;fly (flew - flown) v
Wetter(in) n;better n
neunzehn adj;nineteen adj
Junge, Bube, Knabe, Boy n;boy n
dein(e), euer, eure, Ihr(e);your
linke Seite, auf der linken Seite, Linke n;left n
