der, die, das;the
sich lustig machen über v;make fun of v
Bürgerrechte, staatsbürgerliche Rechte n;civil rights n
an Weihnachten, am ersten Weihnachtstag n;on Christmas day n
etw beseitigen, etw ausschließen, etw ausscheiden v;eliminate sth v
Rechtshänder(in), Rechte (Faustschlag) n;right-hander n
umkehren, wieder zurückkehren, zurückblättern, jdn zurückschicken, jdn zurückweisen, etw zurückschlagen (z. B. Bettdecke) v;turn back v
Europäische Währungsunion n;European Monetary Union n
Olympische Spiele n;Olympic Games, the Olympics n
ruhig stellen (durch Medizin) v;tranquillise (BrE), tranquillize (AmE) v
geschickt (mit den Händen) adj;light-handed adj
geschickt (mit den Händen) adv;light-handedly adv
korrigierend eingreifen v;take corrective action v
sehr begehrt, viel begehrt, gesucht adj;much sought-after adj
anzeigen (juristisch) v;report sth, report sb (for sth), indicate sth, show sth v
Gesundheit! (beim Niesen) n;bless you! n
sich schuldig fühlen v;feel guilt, be overcome by guilt v
Irak v;Iraq v
etw behalten, etw bewahren v;retain v
durchdringen, etw überleben v;come through sth v
was Geld angeht;money-wise
rechte Seite n;right-hand side n
Mücke, der Kleine, die Kleine n;midge n
etw stören v;interfere with sth v
restlich, rückständig, übrig, übrig bleibend, verbleibend, zurückbleibend adj;residual adj
gesetzlich festgelegt;set by statute
Einnahme (von Nahrung), Nahrungsaufnahme n;ingestion n
an Ansehen gewinnen v;gain credit v
während meines Lebens;during my lifetime, in my lifetime
abnehmen, zurückgehen, reduzieren v;decrease v
farbig, bunt, gefärbt, ausgeschmückt, gemischtrassig adj;coloured (BrE), colored (AmE) adj
Blut spenden v;donate blood, give blood v
schwarze Magie, schwarze Kunst n;black magic n
gemütlich, behaglich adj;snugly adj
ganz allmählich;little by little
Umstellung, Änderung, Neuabmachung n;rearrangement n
betiteln, jdn dazu berechtigen etwa zu tun, berechtigt sein etw zu tun v;entitle v
Schlafwagen n;sleeping car, sleeper n
Kaffee kochen n;make coffee n
Südafrika n;South Africa n
zum Schweigen bringen, beschwichtigen v;hush v
geriatrische Klinik n;geriatric hospital n
belangloses Zeug, Trivialität n;trivia n
anstrengend, entschieden, energisch, nachdrücklich adv;strenuously adv
Gebühr, Honorar, Gage, Bezüge, Beitrag n;fee n
die wichtigste Meldung von heute;today's top story
Fallgrube, Falle, Fußangel, Hauptschwierigkeit n;pitfall n
Wäschemangel, Mangel, Heissmangel n;mangle n
jdn erregen, jdn begeistern v;excite sb v
bar bezahlen;pay in cash
lauter sprechen v;to speak louder, to speak more loudly v
Ausbildung, Lehre, Lehrzeit n;apprenticeship n
Haken, Schwierigkeit n;snag n
über einen Vorschlag abstimmen;vote on a proposal
nicht mehr in der richtigen Reihenfolge, nicht mehr in der richtigen Ordnung, defekt adj;out-of-order adj
auffrischen, frisch werden v;freshen v
zu Ihrer Information;for your information, FYI
etw zur Erfüllung bringen v;bring sth to fulfilment v
wegwerfen v;throw away v
ungerechte Behandlung, Schikanierung n;victimisation (BrE), victimization (AmE) n
Sandwich mit Ei n;egg sandwich n
härten, zäh machen, hart machen, abhärten, aushärten, hart werden, zäh werden v;toughen v
Hässlichkeit, Unschönheit, Unerfreulichkeit, übler Zustand n;ugliness n
Verehrung, grenzenlose Liebe, Hingabe, Anbetung n;adoration n
Lärmen, rüpelhaftes Benehmen, flegelhaftes Benehmen n;rowdiness n
abweichen, vom Kurs abweichen, vom Kurs abkommen v;deviate v
diejenigen die diesen Beruf ausüben;practitioner of this profession
politisch korrekt adj;politically correct adj
sehr wertvoll, von hohem Wert adj;of great value adj
organisiertes Verbrechen n;organised crime (BrE), organized crime (AmE) n
ungleichmäßig, unterschiedlich, lückenhaft, gefleckt adj;patchy adj
polnisch adj;Polish adj
Schuppen, Halle, Stall, Unterstand n;shed n
schwach, gebrechlich adj;infirm adj
monatlich bezahlt;paid by the month
alltäglich, normal, banal, platt adj;commonplace adj
Haus Gottes n;House of God, House of the Lord n
Innenminister (BrE) n;Home Secretary (BrE) n
sehr angesehen adj;very much respected adj
tief ausgeschnitten (Kleid o. Ä.) adj;low-cut adj
Beschäftigen und Kündigen von Personal (nach Bedarf) n;hire and fire n
neigen, veranlassen, bewegen, sich neigen, abfallen v;incline v
doppelt, zweifach adj;duplicate adj
vorrätig, auf Lager adj;in stock adj
doppelt, Duplex-... adj;duplex adj
Pläne schmieden, Pläne aushecken v;scheme v
das Heilige Land n;Holy Land n
wieder versammeln, versammeln, wieder zusammenbauen v;reassemble v
ausgehen, auslaufen v;run out v
bekannte Größe n;known quantity n
die Heilige Stadt n;Holy City n
riesig, immens adj;immense adj
in welcher Hinsicht?, in welcher Beziehung?;in what respect?
ermöglichen, möglich machen, aktivieren v;enable v
Geistiges Eigentum n;intellectual property n
allmählich ansteigen, langsam ansteigen v;edge up v
Kindergarten n;nursery school, kindergarten n
Lerche (Vogel), Spaß n;lark n
Bewegung im Freien, Training im Freien n;outdoor exercise n
Gerechtigkeit, Fairness, Blondheit (Haar) n;fairness n
Schnellfeuer-..., schnell aufeinander folgend adj;rapid-fire adj
Partnerschaft, Gemeinschaft, Paar, Personengesellschaft n;partnership n
den Zeitrahmen für etw festlegen, den zeitlichen Rahmen für etw festlegen v;set a time frame for sth v
Schulunterricht von Kindern in privaten Häusern n;homeschooling, home schooling n
geistliche Heimat, spirituelle Heimat, geistige Heimat n;spiritual home n
in Verlegenheit bringen, verlegen machen, beschämen v;embarrass v
Schweigen bedeutet Zustimmung n;silence means consent n
Stachel, Nadel, Spike, Spitze n;spike n
etw trennen, etw abschalten, jdn nicht mehr versorgen, etw abstellen (Gas, Strom, ...), unterbrechen (Telefongespräch) v;disconnect v
geographische Breite, Breitengrad, Freiheit n;latitude n
auf dem Kopf stehend, verkehrt herum adv;upside down adv
Stadt mit hohem Wachstum, Boomtown, Goldgräberstadt n;boom town n
Verdacht, Argwohn n;suspicion n
schockierend, völlig überraschend, schrecklich, furchtbar adj;shocking adj
Sturmangriff, Angriff, Körperverletzung n;assault n
Unterschied, Unterscheidung, Rang, Vornehmheit, Auszeichnung (Schule, Universität) n;distinction n
Signal, Zeichen, Stichwort, Einsatzzeichen, Queue (Billard) n;cue n
enorm adv;gigantically adv
mit dem Schiff, mit dem Boot adj;by boat adj
Zahl der Todesopfer, Zahl der Toten n;death toll n
staatliche Finanzierung n;government funding, state funding n
sich verwählen, die falsche Nummer wählen v;misdial v
einen Schuss abfälschen v;deflect a shoot v
befestigen, bestärken, stärken v;fortify v
mit tiefer Stimme adj;in a deep voice adj
jdn/etw überprüfen, jdn/etw kontrollieren, über jdn/etw Nachforschungen anstellen v;check up v
Unterbringung, Wohnung(en), Wohnungs-..., Gehäuse n;housing n
ohne Sonne, dunkel, trübe adj;sunless adj
Brasilien n;Brazil n
anbauen, kultivieren, pflegen v;cultivate v
behalten ... von, abhalten ... von v;keep from v
Hauch (Farbe), Spur (Farbe), Anflug (Emotion) n;tinge n
(zwangsläufig) etw tun müssen v;be bound to do sth. v
Firmament, Himmel n;firmament n
Mangel, Defizit n;deficiency n
innere Uhr n;body clock n
Operation am offenen Herzen n;open-heart surgery n
etw auseinander halten v;to keep sth separate v
stürmisch, hitzig, heftig adv;stormily adv
kleine Küche, Kochnische n;kitchenette n
Gabel (für den Hauptgang) n;table fork n
Front, Frontlinie n;front line n
verlegen adv;sheepishly adv
Haltung, Einstellung, Körperstellung, Miene n;attitude n
Element n;element n
Eigenwilligkeit, Eigensinn n;self-will n
Kabine, Alkoven, Cubicle (Büro) n;cubicle n
Radioshow, Show im Radio n;radio show n
Versehen, Fehler, Fehltritt, Lapsus n;lapse n
Mutter Gottes n;Mother of God n
Verwaltungsangestellte(r) einer Kirchengemeinde n;parish clerk n
Gedankenstrich, Strich (Morsealphabet), Jagt, Hetze, Hast, Kurzstreckenlauf, kleiner Zusatz, kleine Beimengung, Gedankenstrich, Schwung, Elan, Sprung n;dash n
Vorrat, Lager n;stockpile n
benebelter Zustand, Benommenheit, angeheiterter Zustand, Verwirrtsein, Oberflächlichkeit, Leichtfertigkeit, Ausgelassenheit, Übermut n;light-headedness n
gerecht adj;fair-minded adj
enorm, riesig, gewaltig, ungeheuer, gewaltig adj;enormous adj
kräftig, rüstig adj;hale adj
gebildet, gut ausgebildet adj;well-educated, well educated adj
langfristig, dauerhaft adj;long-term adj
Auswanderer, Emigrant n;emigrant n
Guten Appetit!;Enjoy your meal!
linke Seite n;left-hand side n
vereinigen, zusammenschließen v;incorporate v
etw anzweifeln, einer Sache misstrauen v;suspect sth v
der Mann im Mond;the man in the moon
Störung, Verletzung, Intrusion n;intrusion n
zueinander in Beziehung bringen, eine Beziehung herstellen zwischen, zueinander in Beziehung stehen, zusammenhängen v;interrelate v
braun werden, braun werden lassen, bräunen, gerben v;tan v
hektisch, wild, verzweifelt adj;frenetic adj
einerseits ...;on the one hand ...
Schnelllösung, schnelle Lösung n;quick fix n
umhergehen, umherwandern, Kreise ziehen v;circle around v
auf etw ist noch Garantie, etw hat noch Garantie;sth is still under warranty
Distanziertheit, Einsatztruppe (Militär), Abteilung (Militär), Ablösung (eines Teiles von einem anderen Teil) n;detachment n
Kupplung, Verknüpfung, Verbindung n;coupling n
Unterhaltungsmusik, leichte Musik n;easy listening n
ansammeln, sammeln, anhäufen v;accumulate v
Schwerpunkt n;centre of gravity (BrE), center of gravity (AmE) n
auseinandernehmen, auseinander bauen v;disassemble v
etw für sich behalten, etw vertraulich behandeln;keep sth confidential
wissenschaftlich, hochgeistig, gelehrt adj;scholarly adj
Schulden machen, sich verschulden v;get into debt, run into debt v
unverkennbar, eindeutig adj;unmistakable adj
sofern, falls, vorausgesetzt;providing (that), provided (that)
offene Worte, deutliche Worte n;plain speaking n
im Rundfunk;on the air
Demonstration, Vorführung, Beweis n;demonstration n
zu etw zustimmen, in etw einwilligen v;consent to sth v
Iran v;Iran v
Tinktur, Spur, Andeutung n;tincture n
Innenhof, Hof n;courtyard n
nicht scharf eingestellt sein, aus dem Focus sein adj;be out of focus adj
Ich frage mich, ob ...;I wonder if
Leserschaft, die Leser n;readership n
etw aufbringen, etw zusammenbringen, etw zusammenbekommen, versammeln, antreten (lassen) v;muster sth v
wandeln, umformen v;transduce v
Parkplatz (AmE) n;parking lot (AmE) n
etw kürzen (z. B. Buch/Manuskript), etw/jdn einschränken v;abridge v
Mut, Beherztheit, Unverfrorenheit, Risikobereitschaft, Kräftigkeit (von Farben) n;boldness n
Sohn Gottes, Gottessohn n;Son of God n
die breite Öffentlichkeit n;the general public n
zusammenkommen, zusammenlaufen, fusionieren, zusammenlegen, zusammenschließen, miteinander vereinen, miteinander verbinden v;merge (into) v
im Schatten;in the shadow
ein zu große Belegschaft haben adj;overmanned, overstaffed adj
Diskurs, Unterhaltung, Vortrag, Abhandlung n;discourse n
Emporkömmling, sozialer Aufsteiger, soziale Aufsteigerin n;social climber n
nicht unbedingt, nicht notwendigerweise;not necessarily
ehrlich, ganz ehrlich adj;straight up adj
zu Pferd, beritten adj;on horseback adj
falsche Darstellung n;misstatement n
Aula, Saal (für Versammlungen) n;assembly hall n
unterbrechen, stören v;disrupt v
dampfen, rauchen, aufsteigen, wütend sein, kochen v;fume v
gut dokumentiert sein adj;be well-documented adj
Umkehrung, Gegenteil n;inverse n
auf die kurze Frist gesehen, vorläufig;for the short term
vergleichend, relativ, verhältnismäßig adv;comparative adv
das heutige Amerika n;modern-day America n
die allgemeine Meinung n;received opinion n
rassische Minderheit n;racial minority n
Redewendung, idiomatische Wendung, Sprache, Idiom, Mundart, Dialekt n;idiom n
sich verstecken, sich verbergen v;hide away v
Tradition, Brauch, Überlieferung n;tradition n
Verbot, Prohibition, Prohibitionszeit n;prohibition n
sekundär, verarbeitend, weniger bedeutend adj;secondary adj
jdn veranlassen etw zu tun v;determine sb to do sth v
guter Wille, Wohlwollen, Goodwill, Verständigungsbereitschaft n;goodwill n
Gang, Getriebe, Übersetzung, Ausrüstung, Zeug, Sachen, Gerät, Vorrichtung n;gear n
verbrechen, ein Verbrechen begehen v;commit a crime v
Veränderung, Variation, Schwankung, Wechsel, Variante n;variation n
Freiberufler(in), freier Mitarbeiter n;freelancer n
sich entschließen v;make up one's mind v
untersteh dich!;dare you!
Unterkunft, möbliertes Zimmer n;lodging n
klebrig, feucht, schwül, stickig, schwierig, heikel adj;sticky adj
Niederlande n;Netherlands n
jdn Unrecht tun v;wrong sb v
austrinken, leer trinken v;drink up v
jdn/etw vereinigen, zusammentun v;unify v
tönen (Haar) v;tint v
Sachen, Besitz, Habe n;belongings n
über etw nachdenken v;to think about sth v
ausschiffen, von Bord gehen v;disembark v
es ist reine Vermutung;it's pure speculation
etw verdünnen, etw strecken, etw abschwächen v;dilute v
schärfen, anspitzen, schleifen, verschärfen, etw scharf einstellen v;sharpen v
totes Kapital n;dead capital n
umstritten, kontrovers, strittig adj;controversial adj
Spielmann, fahrender Sänger, Minnesänger n;minstrel n
Blockierung, Versperren, Verstopfung, Behinderung, Sperren (Sport), Hindernis, Hemmnis n;obstruction n
unkompliziert, gelassen, locker adj;easy-going adj
laut Vorschrift, laut Satzung;according to (the) regulations
Sanitätsinspekteur(in) (Militär), Gesundheitsminister (AmE) n;Surgeon General n
total, vollkommen, unverbesserlich, grenzenlos, total, absolut adj;utter adj
großer Reifen, großer Ring, ringförmiger Ohrring, Basketballkorb n;hoop n
jdn in die Knie zwingen v;bring sb to his knees v
an etw verzweifeln v;despair at, despair over sth v
nett zu jdm sein, freundlich zu jdm sein v;be kind to sb v
unsicher sein, sich seiner selbst unsicher sein;to be unsure of oneself
Herzog n;duke n
zurückschlagen, sich wehren, sich zur Wehr setzen v;strike back v
gleichgeschlechtliche Ehe n;civil union n
gute (Schul-) Noten bekommen;get good grades
etw platzieren, etw anlegen v;situate sth v
heilig, sakral, geistlich adj;sacred adj
letzter Aufruf (Flughafen) n;last call n
durchschneiden, schneiden, sich kreuzen, sich schneiden v;intersect v
Lebensnerv, Lebensblut, Blut n;lifeblood n
Verpflichtung, Pflicht n;obligation n
seinen Hund an der Leine führen v;curb one's dog v
lebend, belebt adj;animate adj
Absolutwert, Betrag (Mathematik) n;absolute value n
fünfstelliger Betrag n;five-figure sum n
über jdn/etw betrübt sein, über jdn/etw traurig sein v;sorrow over/for sb/sth v
zusammenfügen, verbunden werden, sich vereinigen, zusammenlaufen v;link together v
Schiff, Seeschiff, Gefäß n;vessel n
das Beste Alter, die Blüte des Lebens n;prime of the life n
etw löschen, etw befriedigen, etw stillen v;quench sth v
Akte (über einen Fall), Krankenakte n;case book n
weitreichend, umfassend adj;far-reaching adj
weitere Fortschritte n;onward progress n
man muss auch (mal) Kompromisse schließen;one has to make compromises
durchdringend, scharf, schneidend adv;piercingly adv
Vereinigung, Einigung, Vereinheitlichung n;unification n
Englisch, die englische Sprache n;the English language n
Sekretariat, Sakristei (Kirche), Standesamt, Registry (Computer) n;registry n
ausstrahlen, abstrahlen, aussenden, emittieren, ausgeben v;emit v
Verdichtungsverhältnis (Motor), Kompressionsverhältnis (Motor) n;compression ratio n
Turbo-Diesel Motor n;turbo diesel n
Aufruf zum Streik n;strike call n
Fahrt ins Blaue (ohne bekanntes Ziel) n;mystery tour n
