second adj;Zweite(r), zweite(r), an zweiter Stelle adj
break (broke - broken) v;brechen, durchbrechen, zerbrechen v
clear v;etw klären, etw beseitigen, etw räumen, etw abräumen, etw löschen, etw reinigen v
next adj;nächste, nächster, nächstes (in einer Reihe) adj
fire n;Feuer, Brand n
push n;Stoß, Schubs, Druck, Anstoß n
broad adj;breit, grob (i. S. v. Verallgemeinerung), umfassend, allgemein, weitreichend, ausgedehnt, tolerant, großzügig adj
stone adj;steinern, aus Stein adj
left adj;links, linke(r, s) adj
matter v;von Belang sein, von Bedeutung sein, von Wichtigkeit sein v
feel n;Gespür, Gefühl, Berühren, Anfassen n
tire v;ermüden, müde machen v
hair n;Haar, Härchen, Behaarung, Haar-... n
spring n;Frühling, Frühjahr, Quelle, Springen, Satz, Feder n
push v;schieben, drängeln, drängen, stoßen, schubsen, drücken (Tür) v
fix n;Patsche, Klemme, Position (Seefahrt) n
turn n;Drehung, Kurve, Wende, Wendung, Reihe, Reihenfolge n
light n;Licht, Beleuchtung, Leuchte n
last adj;letzte(r), vorige(r) adj
wind n;Wind n
first adv;zuerst, als Erste(r, s), erstens adv
picture v;beschreiben, darstellen, abbilden, sich vorstellen v
sound v;klingen, erklingen, tönen, ertönen, sich anhören als v
laugh n;Lachen, Spaß, Stimmungsmacher(in), Pausenclown n
top n;Oberteil, oberes Ende, Spitze, Gipfel, Kreisel n
thousand adj;tausend, eintausend adj
wall n;Mauer, Wand, Einfriedung, Mantel (eines Reifens) n
fill v;füllen, einfüllen, ausfüllen, erfüllen, plombieren v
sorry adj;traurig sein, Leid tun adj
age n;Alter, Lebensdauer, Lebenserwartung, Zeitalter n
home n;Zuhause, Heim, Heim-..., Heimat n
slow adj;langsam, flau, begriffsstutzig, langsamer werden adj
change n;Wechsel, Veränderung, Wechselgeld n
will n;Wille, Testament n
table v;Tisch, Tafel, Tischrunde, Tabelle, Tafelland, Plateau, Hochebene, Tabelle v
Swiss adj;schweizerisch adj
cold adj;kalt, betont kühl, kühl adj
yellow adj;gelb adj
leave (left - left) v;verlassen, fortgehen, weggehen, abfahren, abreisen, abfliegen, zurücklassen, aufbrechen v
near v;sich nähern, näher rücken v
just adj;gerecht, gerechtfertigt, angemessen, berechtigt, begründet adj
air n;Luft, Atmosphäre, Auftreten, Miene, Melodie n
love n;Liebe, Vorliebe, Leidenschaft, Liebling, Schatz n
sound n;Geräusch, Ton, Laut, Schall, Klang, Meeresenge, Sund, Meeresarm n
drink (drank - drunk) v;trinken v
hunt n;Jagd, Jagdgesellschaft, Jagdrevier, Suche n
father v;zeugen, die Vaterschaft anerkennen für, Urheber sein v
run n;Lauf, Strecke, Verlauf, Auflage (Produktion), Ansturm, Laufmasche (AmE) n
call n;Telefonanruf, Anruf, Telefongespräch, Telefonat, Aufruf, Forderung, Berufung, Nachfrage n
fix v;anbringen, in Ordnung bringen, befestigen, festmachen, anbringen v
blow n;Schlag, Schicksalsschlag, Blasen, Pusten n
smile v;lächeln v
Austrian adj;österreichisch adj
grey (BrE), gray (AmE) adj;grau adj
twenty-one adj;einundzwanzig adj
bed n;Bett, Lager, Flöz, Unterbau n
sleep (slept - slept) v;schlafen v
brown adj;braun adj
pull n;Ziehen, Zugkraft, Einfluss, Anstrengung n
