wertlos;worthless
Andenken, Erinnerung;keepsake, memento, souvenir
individuell, Einzelwesen, Individuum;individual
Quadratmeter;square metre
Fittich, Flügel;wing
aneinander-;co-
Zwillinge;twins
Millimeter;millimetre
archäologisch;archaeological
Theorie;theory
musizieren;to make music
hebräisch, Hebräer, Jude, Hebräisch, hebräische Sprache;Hebrew
Menge, Quantität;quantity
Angelleine, Linie, Strich, Zeile, Kette, Reihe, Reihenfolge, Tour;line
Muster, Probe, Probestück;specimen, sample
Uneigennützigkeit, Altruismus;altruism
neigen zu;to be inclined
Bereich, Gebiet, Gegend, Region;region
Anblick, Aussehen, Aspekt, da, hier, hier ist, siehe, Blick, Einsicht;look
