worthless;wertlos
effect;Effekt, Wirkung, Wirksamkeit, Erfolg, Ergebnis, Resultat
disappointment, grief, annoyance;Ärger, Betrübnis, Verdruss
arch-, chief-;Haupt-
post;Pfeiler, Pfosten, Amt, Anstellung, Dienst, Posten, Post
to quarrel;streiten, zanken
likewise;auch, ebenfalls, gleichfalls, gleich
formal;förmlich, formell, formal
thereby;dadurch
consonant;Konsonant, Mitlaut
grown-up;volljährig
shopping-centre;Einkaufszentrum
to omit;unterlassen, verpassen
table;Tabelle, Verzeichnis, Tisch
Moses;Mose(s)
next;dann, darauf, hinterher, nachher, später, danach, bevorstehend, kommend, künftig, nächst, nahe, folgend, umgehend, kommender, nächster
to install;einführen, einrichten, einsetzen, installieren
right;rechter, recht, richtig, im Recht, Befugnis, Recht, zutreffend, gerade
automatic;automatisch, selbsttättig, zwangsläufig
to suggest;andeuten, weisen, anweisen, zeigen, beantragen, vorschlagen, suggerieren, einreden
subtraction;Subtraktion
water-closet;Wasserklosett, WC
mom, mommy, mam, mammy;Mama, Mütterchen
to lift;ausgraben, heben, aufheben, erheben, zücken, aufgehen, sich erheben, steigen
severe, strict;streng
to try;sich abmühen, sich anstrengen, sich bemühen, sich Mühe geben, erproben, probieren, prüfen, versuchen
to strive for;streben
passage, corridor;Gang, Hausflur, Flur, Korridor
dozen;Dutzend
hymn, anthem;Hymne, Lobgesang
lover;Liebhaberin, Liebhaber, Geliebte
to paralyse;lähmen, lahm legen, paralysieren
buyer, purchaser;Käufer, Kunde
invention;Erfindung, Erfinden
briefcase;Aktentasche
to hinder;erschweren, behelligen, hindern, behindern, stören, verhindern, verschleppen, verstopfen, beengen, belästigen, genieren, lästig werden
Pakistan;Pakistan
item, particle;Glied, Teil, Stück, Brösel, Ära, Korn, Span, Zeitalter, Zeitrechnung, Tropfen
to dress;verbinden, anziehen, kleiden, ankleiden, bekleiden
card;Karte, Zettel
shoe-lace;Schnur, Schuhband
gas;Gas
sex;Geschlecht, Sex
of water;Wasser...
affectionate;liebevoll, einschmeichelnd, anhänglich, ergeben, zugetan
sue, prosecute;(strafrechtlich) verfolgen, anklagen
endless;endlos, unendlich
abstract;abstrakt, begrifflich, unwirklich, Übersicht, theoretisch
figure;Zahl, Zahlzeichen, Ziffer, Abbild, Figur, Gestalt
to figure, to calculate;erachten, kalkulieren, rechnen, berechnen
pharmacist, dispensing chemist, pharmaceutical chemist;Pharmazeut
spring;Quelle, Frühjahr, Frühling, Lenz, Feder, Triebfeder
affliction;Gebrechen, Elend, Kummer, Traurigkeit
to descend;hinuntergehen, hinabsteigen, heruntergehen
to explode;explodieren, platzen
to reduce the price;zurückschlagen
administrator;Verwalter, Geschäftsführer
to entomb, to inter;beerdigen
in the beginning, at first, at the outset;anfänglich
to multiply;multiplizieren, vervielfältigen
to salt;salzen
geology;Geologie
to envelop;einhüllen, einschlagen, einwickeln, umhüllen, umschlagen
like;ähnlich, als, wie, inwiefern
prejudice;Vorurteil
astronomer;Astronom, Sternforscher
novel;neu, Roman
North America;Nordamerika
to wander, to roam;wandern, bummeln, irren, umherstreifen
recess;Alkoven, Pause
secondary;zusätzlich, nebensächlich, sekundär, untergeordnet
microphone;Mikrophon
occupation;Beruf, Gewerbe, Handwerk, Beschäftigung, Besetzung
lewd;ausgelassen
to take aim;beabsichtigen, zielen auf
ample, bulky, sizable;weit, umfassend
to promise;geloben, verheißen, versprechen, zusagen
spontaneous;spontan
even;eben, glatt, flach, egal, gar, ja, selbst, sogar, ausgeglichen, quitt, Paar-, gepaart, paarweise, reguläre (Matrix), regulär, regelmäßig, reguläre (Distribution), regelmäßiges (Vielflach), regelmäßiges (Vieleck)
possibility;Möglichkeit
advertisement, ad;Annonce, Anzeige, Inserat, Reklame
responsibility;Verantwortung
to impose;aufdrängen, aufnötigen, dringen, aufdringen
needle;Nadel, Stecknadel
resistance;Gegenwehr, Widerstand
relative;Verwandter, relativ, Relativpronomen
hygienic;gesundheitlich, hygienisch
speedy;baldig, geschwind, hurtig, rasch, schnell
to steer;dirigieren, führen, richten, steuern, lenken
-worthy;-wert
apricot;Aprikose, Marille
to get drunk;sich betrinken
to plague;plagen
tractor;Traktor
to herald;ausrufen, verkündigen
to gnaw;nagen
minor;unbedeutend
for some reason;aus irgend einem Grunde
division;Teilung, Division
to clothe;anziehen, kleiden, ankleiden, bekleiden
decision;Entscheidung, Entschluss, Beschluss
fatherland;Heimat, Vaterland
to knot;knoten
to appear;erscheinen, aussehen, scheinen
Kazakhstan;Kasachstan
to enjoy oneself, to have a good time;sich amüsieren
misery;Elend, Not
benefit;Vorteil, Gewinn, Überschuss, Verdienst, Interesse, Nutzen
-ism;-ismus
moose, elk;Elch
cabinet;Schrank, Kabinett
autumn;herbstlich, Herbst
detailed;ausführlich, detailliert, einzeln, umständlich
expensive;lieb, teuer, wert
